Point_ID,Longitude,Latitude,Map_Class_Code,Map_Class_Name,GLC_Class_Code,GLC_Class_Name,GT_Class_Code,Notes
CRATI_GT_001,16.21250000000002,39.209722222222226,20,Forest,20,Forest,,
CRATI_GT_002,15.865277777777797,38.08472222222223,20,Forest,20,Forest,,
CRATI_GT_003,15.004166666666682,38.00694444444446,20,Forest,20,Forest,,
CRATI_GT_004,14.21805555555557,41.854166666666664,20,Forest,20,Forest,,
CRATI_GT_005,15.726388888888906,40.20138888888889,20,Forest,20,Forest,,
CRATI_GT_006,16.03750000000002,39.68472222222223,20,Forest,8,Cropland,,
CRATI_GT_007,15.040277777777794,40.770833333333336,20,Forest,20,Forest,,
CRATI_GT_008,14.44305555555557,41.36805555555556,20,Forest,20,Forest,,
CRATI_GT_009,12.9513888888889,41.67361111111111,20,Forest,20,Forest,,
CRATI_GT_010,14.126388888888902,41.67916666666667,20,Forest,20,Forest,,
CRATI_GT_011,15.098611111111127,40.72638888888889,20,Forest,20,Forest,,
CRATI_GT_012,16.451388888888907,39.29583333333334,20,Forest,20,Forest,,
CRATI_GT_013,15.098611111111127,40.793055555555554,20,Forest,20,Forest,,
CRATI_GT_014,16.58472222222224,39.19583333333334,20,Forest,20,Forest,,
CRATI_GT_015,16.454166666666687,39.923611111111114,20,Forest,5,Shrubland,,
CRATI_GT_016,16.506944444444464,39.28194444444445,20,Forest,20,Forest,,
CRATI_GT_017,15.970833333333353,39.709722222222226,20,Forest,20,Forest,,
CRATI_GT_018,15.562500000000018,40.15694444444445,20,Forest,20,Forest,,
CRATI_GT_019,15.89583333333335,40.55972222222223,20,Forest,20,Forest,,
CRATI_GT_020,16.045833333333352,39.4875,20,Forest,20,Forest,,
CRATI_GT_021,13.548611111111123,41.35694444444445,20,Forest,20,Forest,,
CRATI_GT_022,16.05694444444446,40.31805555555556,20,Forest,20,Forest,,
CRATI_GT_023,15.387500000000015,40.61805555555556,20,Forest,20,Forest,,
CRATI_GT_024,14.287500000000014,41.89861111111111,20,Forest,20,Forest,,
CRATI_GT_025,14.926388888888903,38.14583333333334,20,Forest,20,Forest,,
CRATI_GT_026,16.02361111111113,38.27361111111112,20,Forest,20,Forest,,
CRATI_GT_027,14.537500000000016,41.706944444444446,20,Forest,20,Forest,,
CRATI_GT_028,13.990277777777791,41.515277777777776,20,Forest,20,Forest,,
CRATI_GT_029,16.376388888888908,38.49305555555557,20,Forest,20,Forest,,
CRATI_GT_030,16.03472222222224,41.829166666666666,20,Forest,20,Forest,,
CRATI_GT_031,15.95972222222224,41.72638888888889,20,Forest,20,Forest,,
CRATI_GT_032,14.345833333333347,41.4375,20,Forest,8,Cropland,,
CRATI_GT_033,16.49861111111113,38.64305555555556,20,Forest,20,Forest,,
CRATI_GT_034,16.062500000000018,40.1375,20,Forest,20,Forest,,
CRATI_GT_035,16.23472222222224,38.99305555555557,20,Forest,20,Forest,,
CRATI_GT_036,16.304166666666685,38.49861111111112,20,Forest,20,Forest,,
CRATI_GT_037,14.376388888888902,41.10694444444445,20,Forest,20,Forest,,
CRATI_GT_038,14.715277777777793,40.87083333333334,20,Forest,20,Forest,,
CRATI_GT_039,15.865277777777797,38.19305555555557,20,Forest,20,Forest,,
CRATI_GT_040,16.018055555555573,39.91805555555556,20,Forest,20,Forest,,
CRATI_GT_041,13.156944444444456,41.74861111111111,20,Forest,20,Forest,,
CRATI_GT_042,16.476388888888906,39.31527777777778,20,Forest,20,Forest,,
CRATI_GT_043,13.309722222222234,41.85138888888888,20,Forest,20,Forest,,
CRATI_GT_044,15.398611111111128,40.240277777777784,20,Forest,20,Forest,,
CRATI_GT_045,12.948611111111122,41.854166666666664,20,Forest,20,Forest,,
CRATI_GT_046,14.618055555555571,41.09305555555556,20,Forest,20,Forest,,
CRATI_GT_047,15.57083333333335,40.53472222222222,20,Forest,20,Forest,,
CRATI_GT_048,13.259722222222234,41.49583333333333,20,Forest,20,Forest,,
CRATI_GT_049,15.70972222222224,38.17083333333334,20,Forest,8,Cropland,,
CRATI_GT_050,16.129166666666684,40.49027777777778,20,Forest,20,Forest,,
CRATI_GT_051,15.995833333333351,38.65972222222223,20,Forest,20,Forest,,
CRATI_GT_052,16.55138888888891,39.57361111111111,20,Forest,20,Forest,,
CRATI_GT_053,13.70416666666668,41.39305555555555,20,Forest,20,Forest,,
CRATI_GT_054,16.129166666666684,40.584722222222226,20,Forest,8,Cropland,,
CRATI_GT_055,16.08750000000002,39.29305555555556,20,Forest,20,Forest,,
CRATI_GT_056,15.920833333333352,40.21805555555556,20,Forest,8,Cropland,,
CRATI_GT_057,13.481944444444457,41.89305555555555,20,Forest,20,Forest,,
CRATI_GT_058,14.951388888888903,40.72916666666667,20,Forest,20,Forest,,
CRATI_GT_059,16.46250000000002,38.57361111111112,20,Forest,20,Forest,,
CRATI_GT_060,15.948611111111129,39.54583333333334,20,Forest,20,Forest,,
CRATI_GT_061,15.115277777777791,40.673611111111114,20,Forest,20,Forest,,
CRATI_GT_062,16.24583333333335,39.00972222222223,20,Forest,20,Forest,,
CRATI_GT_063,13.92916666666668,41.415277777777774,20,Forest,20,Forest,,
CRATI_GT_064,15.468055555555573,40.084722222222226,20,Forest,20,Forest,,
CRATI_GT_065,16.24861111111113,39.04305555555556,20,Forest,20,Forest,,
CRATI_GT_066,16.690277777777798,39.12916666666667,20,Forest,20,Forest,,
CRATI_GT_067,16.437500000000018,39.551388888888894,20,Forest,20,Forest,,
CRATI_GT_068,15.40972222222224,40.26527777777778,20,Forest,5,Shrubland,,
CRATI_GT_069,16.32083333333335,38.49861111111112,20,Forest,20,Forest,,
CRATI_GT_070,16.265277777777797,38.98194444444445,20,Forest,20,Forest,,
CRATI_GT_071,15.587500000000016,40.84861111111111,20,Forest,20,Forest,,
CRATI_GT_072,13.820833333333349,41.81805555555555,5,Shrubland,8,Cropland,,
CRATI_GT_073,15.53472222222224,40.14861111111112,5,Shrubland,20,Forest,,
CRATI_GT_074,13.231944444444457,41.35138888888889,5,Shrubland,20,Forest,,
CRATI_GT_075,16.54861111111113,40.3625,5,Shrubland,13,Other,,
CRATI_GT_076,16.140277777777797,39.19861111111112,5,Shrubland,5,Shrubland,,
CRATI_GT_077,15.38472222222224,40.07638888888889,5,Shrubland,7,Grassland,,
CRATI_GT_078,16.201388888888907,39.89027777777778,5,Shrubland,8,Cropland,,
CRATI_GT_079,15.706944444444462,40.09583333333334,5,Shrubland,7,Grassland,,
CRATI_GT_080,15.976388888888906,40.44027777777778,5,Shrubland,5,Shrubland,,
CRATI_GT_081,13.487500000000011,41.3375,5,Shrubland,20,Forest,,
