Study area;Land cover class;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
tevere;Forest;30900420000;30898800000;30897900000;30798090000;30731220000;30589650000;30265020000;29256750000;28953540000;28921320000;28901250000;29093220000;29216340000;29346390000;29437290000;29516310000;29699460000;29811870000;29785140000;29809530000;29787300000;29799810000;29875140000;29873790000;29980710000;29990970000;30153960000;30222360000;30244230000;30236670000;30255840000
tevere;Shrubland;880470000;880470000;880380000;868950000;869040000;873990000;878490000;884700000;886050000;885690000;886050000;888750000;890190000;889740000;889200000;888660000;887490000;886500000;885960000;885870000;886050000;885060000;884970000;884700000;880110000;879570000;877860000;876960000;875970000;900900000;905580000
tevere;Grassland;5342310000;5342220000;5342040000;5397840000;5411250000;5434560000;5526990000;5687190000;5757390000;5781690000;5800590000;5799420000;5803650000;5800410000;5794290000;5789970000;5768910000;5755680000;5760450000;5761530000;5761620000;5760630000;5758110000;5757750000;5721840000;5718870000;5669820000;5647680000;5638320000;5632020000;5615820000
tevere;Cropland;53622180000;53611020000;53599320000;53629650000;53665020000;53755110000;53948430000;54736920000;54939510000;54935730000;54917820000;54702630000;54555120000;54391140000;54272070000;54122220000;53913600000;53776080000;53763660000;53701920000;53680950000;53620110000;53473590000;53424630000;53359470000;53342100000;53226720000;53182620000;53171370000;53137080000;53111250000
tevere;Wetland;28890000;28890000;28890000;28980000;29160000;29160000;29160000;29340000;29250000;29250000;29250000;29250000;29250000;29160000;28980000;28980000;28980000;28890000;28890000;28890000;28890000;28890000;28800000;28800000;28800000;28710000;27990000;27990000;27990000;27990000;28170000
tevere;Lichens & Mosses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tevere;Bareland;2054520000;2019330000;1978830000;1948410000;1909800000;1871010000;1838880000;1826910000;1791990000;1735200000;1654830000;1607040000;1562670000;1499760000;1455480000;1390410000;1352880000;1328310000;1308420000;1292400000;1274850000;1261080000;1240560000;1229580000;1228320000;1215630000;1212660000;1211310000;1211040000;1191510000;1182690000
tevere;Built-up;1672650000;1721520000;1775520000;1834830000;1896840000;1959030000;2027700000;2093310000;2157570000;2227320000;2328660000;2399310000;2463120000;2564010000;2643750000;2785500000;2871000000;2935350000;2990610000;3043440000;3104460000;3169350000;3265380000;3327750000;3327750000;3351150000;3357990000;3358080000;3358080000;3400830000;3427650000
tevere;Water;54189990000;54189180000;54188550000;54184680000;54179100000;54178920000;54176760000;54176310000;54176130000;54175230000;54172980000;54171810000;54171090000;54170820000;54170370000;54169380000;54169110000;54168750000;54168300000;54167850000;54167310000;54166500000;54164880000;54164430000;54164430000;54164430000;54164430000;54164430000;54164430000;54164430000;54164430000
tevere;Ice/Snow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
